username, created_at, lng, lat, text,,,,
ShesMoPhoenix, Thu Apr 23 21:17:32 +0000 2020,-73.829384,40.912499, @Sincerely_Rosey @escIusive His best friend* ,,,,
kingcx_, Thu Apr 23 21:17:32 +0000 2020,-76.620482,39.284713, @ASipOf_Mocha Because I was off two tabs of LSD &amp; in a GREAT fucking mood 😂😂😂😂 ,,,,
Dylangreer11, Thu Apr 23 21:17:32 +0000 2020,-85.557614,38.194744, @HashtagJayCole Shit so corny should be an elote ,,,,
annamccarroll, Thu Apr 23 21:17:32 +0000 2020,-73.123936,40.908413, @blllaaambitches ,,,,
PaxtonWaitman11, Thu Apr 23 21:17:32 +0000 2020,-100.076888,31.168893, @zsooners @PlantThatFlag17 @mryanedmondson @CFBONFOX @sehlinger3 @VinceYoung10 Then yalls wins against OSU in the b… https://t.co/bNgMIiypOw ,,,,
wolleey, Thu Apr 23 21:17:32 +0000 2020,-95.446486,29.838495, @KhidKhordi 😂😂😂 ,,,,
ARandolphHill, Thu Apr 23 21:17:32 +0000 2020,-112.124676,33.552863, https://t.co/SNIuTswxwT ,,,,
Sauce1017, Thu Apr 23 21:17:32 +0000 2020,-94.128634,30.086918, @ouhshelexi1 @Javier409999 Thank u ,,,,
dial_lino, Thu Apr 23 21:17:32 +0000 2020,-122.230222,38.114777, On EWTN-TV daily Mass today:PSALM  34 The Lord hears the Cry of the poor. ,,,,
hoesmad_mw, Thu Apr 23 21:17:32 +0000 2020,-73.948775,40.655138, @baselinedad I listened to heard about us yesterday n i forgot how much i loved tht song ,,,,
OMG_KON, Thu Apr 23 21:17:32 +0000 2020,-121.998644,37.973327, @theWillDobeast It’s the poster given to arcades that got gold cabinets. It’s extremely rare. ,,,,
unkljak1, Thu Apr 23 21:17:32 +0000 2020,-82.033994,29.780851, https://t.co/2SaNbwaFvv ,,,,
danaaa71, Thu Apr 23 21:17:32 +0000 2020,-80.294893,26.156619, 🌍 your whole world https://t.co/4okshqHkXB ,,,,
asleepygemini, Thu Apr 23 21:17:32 +0000 2020,-73.948775,40.655138, @JeddyRoosevelt @1i1sta whooo ,,,,
PlacenciaDaniel, Thu Apr 23 21:17:32 +0000 2020,-118.411907,34.020789, Y’all wild sometimes 😅😭😂 https://t.co/esnptxOInk ,,,,
imso_witda_shit, Thu Apr 23 21:17:33 +0000 2020,-90.046692,34.948131, No cap imma be so far at the top 🤫 like huh i can’t hear you dwn there 😂😂 #TTP ,,,,
rogerpriebe, Thu Apr 23 21:17:33 +0000 2020,-81.74913,41.440474, @JeffLemire Or maybe black hammer / JSA ??? :) ,,,,
getreal_garcia, Thu Apr 23 21:17:33 +0000 2020,-98.540651,29.417501, @AppleSupport Don’t you think it’s a little irresponsible that you haven’t yet put a masked emoji out. 🤏 ,,,,
HayleyRose5800, Thu Apr 23 21:17:33 +0000 2020,-119.636189,36.830799, @NKOTB @DonnieWahlberg The ugliest of cries right now just saying 😭😭 #BHLove #NKOTBVirtualCruise ♥️🛳 ,,,,
oshobudda, Thu Apr 23 21:17:33 +0000 2020,-71.378008,41.877246, @realDonaldTrump ,,,,
sierraagarciaa, Thu Apr 23 21:17:33 +0000 2020,-119.025163,35.346902, im so excited to watch the draft w my mom ,,,,
archadialila, Thu Apr 23 21:17:33 +0000 2020,-108.562922,45.797446, @djamilaknopf These are gorgeous!! ,,,,
tpxv_era, Thu Apr 23 21:17:33 +0000 2020,-76.507809,37.090301, Big bra deserve it 4sho 💪🏾 #TMC 🙏🏽🏁 @iamkxle ,,,,
DianeMi53736168, Thu Apr 23 21:17:33 +0000 2020,-81.109617,32.017285, https://t.co/zM8Y6NyQ2X ,,,,
natty_BUCS31, Thu Apr 23 21:17:33 +0000 2020,-157.975829,21.344749, why u care wat other ppl say about shit u dont care about? ,,,,
mutantxfactor, Thu Apr 23 21:17:33 +0000 2020,-73.968542,40.780709, @Dammit__Woman I hope she will be OK. When you have more paintings available, I will try to buy faster! 💸 ,,,
clunn3, Thu Apr 23 21:17:33 +0000 2020,-85.9786,35.830522, @BUdualenroll ,,,,
cbatttarse, Thu Apr 23 21:17:33 +0000 2020,-100.270474,25.736715, @cesocerezo @emalatris Qué mal. https://t.co/kZC4C6ij6P ,,,,
darmstrong49, Thu Apr 23 21:17:33 +0000 2020,-74.944125,39.975444, This account sucks ,,,,
jxmcd26, Thu Apr 23 21:17:33 +0000 2020,-97.445173,35.222301, @AndyMineo Yep, he just said that😐 ,,,
allykwilliams, Thu Apr 23 21:17:33 +0000 2020,-122.435979,37.770657, “Instacart now has more than 500K in total but continues to be overwhelmed by demand.”Because they try to pay &lt;$2… https://t.co/2YYcXvtMs9 ,,,,
mikealvarado97, Thu Apr 23 21:17:33 +0000 2020,-74.000833,40.723056, if you wanna come through, there’s a seat just for youmy prettiest secret, I hope that you keep itI’m blue as a p… https://t.co/7moD3ri1Iv ,,
JuanAlcibar4, Thu Apr 23 21:17:34 +0000 2020,-122.230222,38.114777, @SAmerican2020 @CNNPolitics Dumb blonde you! ,,,,
jawnrx, Thu Apr 23 21:17:34 +0000 2020,-73.948775,40.655138, my 6 year old niece follows you @charlieputh https://t.co/8oe3ru2ken ,,,,
LilTouz, Thu Apr 23 21:17:34 +0000 2020,-118.068689,33.866965, idk why people are surprised that the stay at home order keeps getting extended lmao this will probably keep happen… https://t.co/zAwdBO9UOD ,,,,
HunterTDC, Thu Apr 23 21:17:34 +0000 2020,-83.729972,42.270839, We are so excited that @ABCClubHunter1 MA student, Laisuna Yu, will be defending her thesis online next week. Thank… https://t.co/iyDDdj92wu ,,
TadahGangNate, Thu Apr 23 21:17:34 +0000 2020,-91.0908,30.4591, @amberreloaded 💀💀💀💀💀💀💀💀💀 ,,,,
Anthony_GreenJr, Thu Apr 23 21:17:34 +0000 2020,-114.143262,45.494552, @alyssagardipee Jeez😍😍 ,,,,
joan8904, Thu Apr 23 21:17:34 +0000 2020,-95.940918,41.140107, @NatashaBertrand Trump has weaponized the virus against us. ,,,,
